date,time,ecg
11/10/2017,10:16:52.729,238
11/10/2017,10:16:52.873,238
11/10/2017,10:16:52.891,240
11/10/2017,10:16:52.911,245
11/10/2017,10:16:52.921,245
11/10/2017,10:16:52.926,2
11/10/2017,10:16:52.937,4
11/10/2017,10:16:52.940,23
11/10/2017,10:16:52.942,33
11/10/2017,10:16:52.943,68
11/10/2017,10:16:52.945,66
11/10/2017,10:16:52.946,254
11/10/2017,10:16:52.946,242
11/10/2017,10:16:53.000,230
11/10/2017,10:16:53.059,230
11/10/2017,10:16:53.076,232
11/10/2017,10:16:53.078,236
11/10/2017,10:16:53.091,242
11/10/2017,10:16:53.093,241
11/10/2017,10:16:53.154,240
11/10/2017,10:16:53.156,239
11/10/2017,10:16:53.190,242
11/10/2017,10:16:53.191,243
11/10/2017,10:16:53.236,251
11/10/2017,10:16:53.237,7
11/10/2017,10:16:53.373,1
11/10/2017,10:16:53.375,248
11/10/2017,10:16:53.385,239
11/10/2017,10:16:53.386,240
11/10/2017,10:16:53.388,65
11/10/2017,10:16:53.390,67
11/10/2017,10:16:53.429,238
11/10/2017,10:16:53.430,242
11/10/2017,10:16:53.478,251
11/10/2017,10:16:53.481,254
11/10/2017,10:16:53.544,8
11/10/2017,10:16:53.545,10
11/10/2017,10:16:53.578,39
11/10/2017,10:16:53.579,50
11/10/2017,10:16:53.630,81
11/10/2017,10:16:53.631,84
11/10/2017,10:16:53.673,28
11/10/2017,10:16:53.674,9
11/10/2017,10:16:53.727,241
11/10/2017,10:16:53.728,239
11/10/2017,10:16:53.768,241
11/10/2017,10:16:53.823,241
11/10/2017,10:16:53.824,250
11/10/2017,10:16:53.825,250
11/10/2017,10:16:53.871,252
11/10/2017,10:16:53.874,254
11/10/2017,10:16:53.917,1
11/10/2017,10:16:53.919,253
11/10/2017,10:16:54.022,243
11/10/2017,10:16:54.023,248
11/10/2017,10:16:54.063,249
11/10/2017,10:16:54.065,247
11/10/2017,10:16:54.110,251
11/10/2017,10:16:54.116,7
11/10/2017,10:16:54.173,186
11/10/2017,10:16:54.175,220
11/10/2017,10:16:54.210,236
11/10/2017,10:16:54.213,243
11/10/2017,10:16:54.263,246
11/10/2017,10:16:54.264,246
11/10/2017,10:16:54.314,251
11/10/2017,10:16:54.316,0
11/10/2017,10:16:54.364,35
11/10/2017,10:16:54.366,46
11/10/2017,10:16:54.408,50
11/10/2017,10:16:54.410,38
11/10/2017,10:16:54.462,240
11/10/2017,10:16:54.463,239
11/10/2017,10:16:54.504,240
11/10/2017,10:16:54.686,247
11/10/2017,10:16:54.687,254
11/10/2017,10:16:54.690,6
11/10/2017,10:16:54.693,13
11/10/2017,10:16:54.694,14
11/10/2017,10:16:54.695,11
11/10/2017,10:16:54.700,8
11/10/2017,10:16:54.702,7
11/10/2017,10:16:54.754,24
