Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_01,11/10/2017,10:50:43.744,6.6730957,-2.199463,5.187744
11_10_01,11/10/2017,10:50:43.769,6.6972656,-2.2390137,5.161377
11_10_01,11/10/2017,10:50:43.913,6.6533203,-2.2368164,5.187744
11_10_01,11/10/2017,10:50:44.082,6.6708984,-2.2346191,5.176758
11_10_01,11/10/2017,10:50:44.169,6.666504,-2.2478027,5.178955
11_10_01,11/10/2017,10:50:44.270,6.6884766,-2.2324219,5.1745605
11_10_01,11/10/2017,10:50:44.472,6.6643066,-2.2302246,5.203125
11_10_01,11/10/2017,10:50:44.517,6.67749,-2.1906738,5.203125
11_10_01,11/10/2017,10:50:44.688,6.6708984,-2.2280273,5.187744
11_10_01,11/10/2017,10:50:44.777,6.659912,-2.2543945,5.176758
11_10_01,11/10/2017,10:50:44.900,6.6533203,-2.3203125,5.185547
11_10_01,11/10/2017,10:50:45.035,6.6950684,-2.2390137,5.1591797
11_10_01,11/10/2017,10:50:45.207,6.648926,-2.282959,5.2141113
11_10_01,11/10/2017,10:50:45.306,6.6621094,-2.2126465,5.2075195
11_10_01,11/10/2017,10:50:45.469,6.72583,-2.2675781,5.1152344
11_10_01,11/10/2017,10:50:45.559,6.7368164,-2.2104492,5.128418
11_10_01,11/10/2017,10:50:45.720,6.6225586,-2.3444824,5.220703
11_10_01,11/10/2017,10:50:45.831,6.6291504,-2.2456055,5.2580566
11_10_01,11/10/2017,10:50:45.926,6.651123,-2.2236328,5.2338867
11_10_01,11/10/2017,10:50:46.071,6.6445313,-2.2631836,5.211914
11_10_01,11/10/2017,10:50:46.231,6.710449,-2.2675781,5.1328125
11_10_01,11/10/2017,10:50:46.326,6.7126465,-2.1687012,5.145996
11_10_01,11/10/2017,10:50:46.441,6.6862793,-2.22583,5.163574
11_10_01,11/10/2017,10:50:46.579,6.615967,-2.3093262,5.2250977
11_10_01,11/10/2017,10:50:46.754,6.651123,-2.2104492,5.242676
11_10_01,11/10/2017,10:50:46.839,6.699463,-2.2060547,5.2075195
11_10_01,11/10/2017,10:50:47.014,6.734619,-2.2324219,5.1262207
11_10_01,11/10/2017,10:50:47.100,6.692871,-2.2763672,5.161377
11_10_01,11/10/2017,10:50:47.226,6.6379395,-2.3049316,5.2163086
11_10_01,11/10/2017,10:50:47.364,6.600586,-2.2697754,5.253662
11_10_01,11/10/2017,10:50:47.470,6.6379395,-2.2675781,5.2338867
11_10_01,11/10/2017,10:50:47.622,6.651123,-2.2565918,5.2141113
11_10_01,11/10/2017,10:50:47.744,6.6643066,-2.2324219,5.1569824
11_10_01,11/10/2017,10:50:47.888,6.6643066,-2.2236328,5.187744
11_10_01,11/10/2017,10:50:47.996,6.6555176,-2.2807617,5.185547
11_10_01,11/10/2017,10:50:48.142,6.648926,-2.241211,5.1745605
11_10_01,11/10/2017,10:50:48.251,6.6643066,-2.2478027,5.2338867
11_10_01,11/10/2017,10:50:48.404,6.6379395,-2.199463,5.2822266
11_10_01,11/10/2017,10:50:48.503,6.6379395,-2.2697754,5.2053223
11_10_01,11/10/2017,10:50:48.663,6.7038574,-2.2521973,5.152588
11_10_01,11/10/2017,10:50:48.766,6.6950684,-2.1774902,5.154785
11_10_01,11/10/2017,10:50:48.925,6.6621094,-2.1708984,5.2075195
11_10_01,11/10/2017,10:50:49.022,6.6730957,-2.1862793,5.203125
11_10_01,11/10/2017,10:50:49.185,6.6203613,-2.2631836,5.2404785
11_10_01,11/10/2017,10:50:49.283,6.6379395,-2.2390137,5.242676
11_10_01,11/10/2017,10:50:49.438,6.67749,-2.2214355,5.1657715
11_10_01,11/10/2017,10:50:49.530,6.6467285,-2.2653809,5.1921387
11_10_01,11/10/2017,10:50:49.699,6.648926,-2.217041,5.262451
11_10_01,11/10/2017,10:50:49.785,6.67749,-2.2236328,5.2009277
