Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_CH,11/10/2017,12:25:35.606,4.0583496,3.713379,6.971924
11_10_02_CH,11/10/2017,12:25:36.913,4.078125,3.5595703,7.4069824
11_10_02_CH,11/10/2017,12:25:36.942,4.086914,4.117676,6.6467285
11_10_02_CH,11/10/2017,12:25:36.950,3.2629395,4.2473145,6.6884766
11_10_02_CH,11/10/2017,12:25:36.956,2.863037,3.1091309,7.2180176
11_10_02_CH,11/10/2017,12:25:36.961,2.9663086,3.1794434,6.732422
11_10_02_CH,11/10/2017,12:25:36.968,3.2211914,4.8164063,8.063965
11_10_02_CH,11/10/2017,12:25:36.984,3.730957,4.6604004,6.5786133
11_10_02_CH,11/10/2017,12:25:36.990,3.9111328,4.431885,6.119385
11_10_02_CH,11/10/2017,12:25:36.992,4.4143066,5.0822754,5.8930664
11_10_02_CH,11/10/2017,12:25:36.999,4.921875,3.1662598,5.631592
11_10_02_CH,11/10/2017,12:25:37.001,6.39624,3.3046875,11.014893
11_10_02_CH,11/10/2017,12:25:37.055,5.866699,3.3684082,5.6711426
11_10_02_CH,11/10/2017,12:25:37.208,1.6435547,4.2055664,3.342041
11_10_02_CH,11/10/2017,12:25:37.303,0.69433594,5.0668945,2.2434082
11_10_02_CH,11/10/2017,12:25:37.447,2.572998,10.516113,7.2751465
11_10_02_CH,11/10/2017,12:25:37.555,2.9355469,4.840576,8.187012
11_10_02_CH,11/10/2017,12:25:37.689,6.7148438,5.508545,7.932129
11_10_02_CH,11/10/2017,12:25:37.827,5.9589844,4.1879883,5.1899414
11_10_02_CH,11/10/2017,12:25:37.982,5.7194824,4.2231445,4.928467
11_10_02_CH,11/10/2017,12:25:38.090,6.4467773,4.581299,4.484619
11_10_02_CH,11/10/2017,12:25:38.225,6.013916,4.051758,5.337158
11_10_02_CH,11/10/2017,12:25:38.336,6.4709473,3.7770996,5.196533
11_10_02_CH,11/10/2017,12:25:38.472,6.354492,3.689209,5.069092
11_10_02_CH,11/10/2017,12:25:38.615,6.1655273,3.8583984,4.915283
11_10_02_CH,11/10/2017,12:25:38.715,6.1831055,3.9682617,4.9833984
11_10_02_CH,11/10/2017,12:25:38.854,6.095215,4.1330566,5.003174
11_10_02_CH,11/10/2017,12:25:39.000,6.1655273,4.084717,4.9592285
11_10_02_CH,11/10/2017,12:25:39.102,6.310547,4.300049,5.0163574
11_10_02_CH,11/10/2017,12:25:39.248,6.756592,4.42749,4.7460938
11_10_02_CH,11/10/2017,12:25:39.374,5.493164,4.7702637,4.473633
11_10_02_CH,11/10/2017,12:25:39.493,5.047119,5.403076,5.0910645
11_10_02_CH,11/10/2017,12:25:39.613,5.304199,5.436035,5.4382324
11_10_02_CH,11/10/2017,12:25:39.770,4.4033203,5.3393555,5.475586
11_10_02_CH,11/10/2017,12:25:39.861,4.0913086,5.7304688,5.633789
11_10_02_CH,11/10/2017,12:25:40.032,2.887207,5.5041504,5.693115
11_10_02_CH,11/10/2017,12:25:40.129,2.6938477,5.6271973,5.866699
11_10_02_CH,11/10/2017,12:25:40.271,2.564209,5.684326,6.1655273
11_10_02_CH,11/10/2017,12:25:40.392,2.175293,6.1567383,6.3303223
11_10_02_CH,11/10/2017,12:25:40.517,2.109375,6.2314453,6.4907227
11_10_02_CH,11/10/2017,12:25:40.647,1.4985352,6.8291016,6.055664
11_10_02_CH,11/10/2017,12:25:40.792,1.232666,7.7036133,4.972412
11_10_02_CH,11/10/2017,12:25:40.890,1.645752,7.536621,3.0783691
11_10_02_CH,11/10/2017,12:25:41.052,1.3930664,8.428711,0.5888672
11_10_02_CH,11/10/2017,12:25:41.155,1.1821289,10.876465,-1.2919922
11_10_02_CH,11/10/2017,12:25:41.304,0.54052734,9.325195,-1.5446777
11_10_02_CH,11/10/2017,12:25:41.406,0.09667969,7.965088,-2.4060059
11_10_02_CH,11/10/2017,12:25:41.546,-0.046142578,8.564941,-3.2717285
11_10_02_CH,11/10/2017,12:25:41.671,0.4086914,8.547363,-3.4519043
11_10_02_CH,11/10/2017,12:25:41.785,-0.4152832,8.477051,-3.2651367
11_10_02_CH,11/10/2017,12:25:41.928,0.3713379,7.976074,-3.847412
11_10_02_CH,11/10/2017,12:25:42.072,0.030761719,8.709961,-3.2453613
11_10_02_CH,11/10/2017,12:25:42.185,-0.58447266,8.703369,-2.9707031
11_10_02_CH,11/10/2017,12:25:42.327,0.052734375,8.450684,-2.977295
11_10_02_CH,11/10/2017,12:25:42.435,-2.489502,9.028564,-3.177246
11_10_02_CH,11/10/2017,12:25:42.566,-0.18896484,8.907715,-2.6608887
11_10_02_CH,11/10/2017,12:25:42.710,-1.5820313,8.659424,0.2548828
11_10_02_CH,11/10/2017,12:25:42.837,-3.4606934,8.450684,1.6984863
11_10_02_CH,11/10/2017,12:25:42.949,-3.590332,7.9694824,4.392334
11_10_02_CH,11/10/2017,12:25:43.088,-5.0581055,5.4470215,4.3132324
11_10_02_CH,11/10/2017,12:25:43.247,-3.7375488,4.4802246,6.128174
11_10_02_CH,11/10/2017,12:25:43.352,-8.327637,14.266846,0.2878418
11_10_02_CH,11/10/2017,12:25:43.464,6.2248535,4.425293,-6.7390137
11_10_02_CH,11/10/2017,12:25:43.598,0.8701172,2.9311523,-7.446533
11_10_02_CH,11/10/2017,12:25:43.712,-5.203125,1.3425293,-6.543457
11_10_02_CH,11/10/2017,12:25:43.853,-5.616211,2.986084,-5.427246
11_10_02_CH,11/10/2017,12:25:43.980,-6.435791,-1.0063477,-4.1154785
11_10_02_CH,11/10/2017,12:25:44.127,-9.0,1.3776855,0.31640625
11_10_02_CH,11/10/2017,12:25:44.269,-8.872559,0.092285156,-0.05053711
11_10_02_CH,11/10/2017,12:25:44.376,-9.061523,0.25927734,-0.1274414
11_10_02_CH,11/10/2017,12:25:44.517,-9.054932,0.27905273,-0.14501953
11_10_02_CH,11/10/2017,12:25:44.625,-9.046143,0.27026367,-0.13183594
11_10_02_CH,11/10/2017,12:25:44.742,-9.057129,0.28564453,-0.140625
11_10_02_CH,11/10/2017,12:25:44.874,-9.030762,0.2680664,-0.123046875
11_10_02_CH,11/10/2017,12:25:45.010,-9.052734,0.3010254,-0.15600586
11_10_02_CH,11/10/2017,12:25:45.140,-9.04834,0.29882813,-0.1472168
11_10_02_CH,11/10/2017,12:25:45.293,-9.059326,0.28344727,-0.15161133
11_10_02_CH,11/10/2017,12:25:45.390,-9.041748,0.28564453,-0.17138672
11_10_02_CH,11/10/2017,12:25:45.539,-9.054932,0.2878418,-0.1472168
11_10_02_CH,11/10/2017,12:25:45.651,-9.046143,0.2680664,-0.17138672
11_10_02_CH,11/10/2017,12:25:45.774,-9.057129,0.2548828,-0.16259766
11_10_02_CH,11/10/2017,12:25:45.920,-9.054932,0.28564453,-0.16699219
11_10_02_CH,11/10/2017,12:25:46.027,-9.0703125,0.25927734,-0.140625
11_10_02_CH,11/10/2017,12:25:46.169,-9.032959,0.39770508,-0.08569336
11_10_02_CH,11/10/2017,12:25:46.284,-9.010986,0.08129883,-0.2614746
11_10_02_CH,11/10/2017,12:25:46.424,-8.991211,0.23510742,-0.31860352
11_10_02_CH,11/10/2017,12:25:46.562,-9.004395,0.13623047,-0.3779297
11_10_02_CH,11/10/2017,12:25:46.679,-9.092285,0.05493164,-0.4086914
11_10_02_CH,11/10/2017,12:25:46.800,-8.892334,0.037353516,-0.15161133
11_10_02_CH,11/10/2017,12:25:46.934,-9.010986,0.91186523,-0.028564453
11_10_02_CH,11/10/2017,12:25:47.101,-9.087891,0.2746582,-0.16699219
11_10_02_CH,11/10/2017,12:25:47.180,-9.057129,0.25708008,-0.15820313
11_10_02_CH,11/10/2017,12:25:47.341,-9.052734,0.3010254,-0.15161133
11_10_02_CH,11/10/2017,12:25:47.448,-9.043945,0.27246094,-0.18017578
11_10_02_CH,11/10/2017,12:25:47.586,-9.0703125,0.49658203,-0.041748047
11_10_02_CH,11/10/2017,12:25:47.694,-9.028564,0.15820313,-0.057128906
11_10_02_CH,11/10/2017,12:25:47.831,-9.147217,0.24609375,-0.08569336
11_10_02_CH,11/10/2017,12:25:47.950,-9.063721,0.08569336,-0.1274414
11_10_02_CH,11/10/2017,12:25:48.122,-9.057129,0.1340332,-0.25048828
11_10_02_CH,11/10/2017,12:25:48.213,-9.019775,0.16918945,-0.10986328
11_10_02_CH,11/10/2017,12:25:48.366,-9.0703125,0.16040039,-0.18676758
11_10_02_CH,11/10/2017,12:25:48.481,-9.125244,0.18676758,-0.16918945
11_10_02_CH,11/10/2017,12:25:48.609,-9.028564,0.29223633,-0.16479492
11_10_02_CH,11/10/2017,12:25:48.734,-9.039551,0.092285156,-0.21972656
11_10_02_CH,11/10/2017,12:25:48.884,-9.0703125,0.13183594,-0.09667969
11_10_02_CH,11/10/2017,12:25:48.992,-9.052734,0.10107422,-0.118652344
11_10_02_CH,11/10/2017,12:25:49.138,-9.07251,0.09887695,-0.15600586
11_10_02_CH,11/10/2017,12:25:49.240,-9.043945,0.10986328,-0.118652344
11_10_02_CH,11/10/2017,12:25:49.388,-9.061523,0.10107422,-0.16259766
11_10_02_CH,11/10/2017,12:25:49.489,-9.074707,0.09448242,-0.18457031
11_10_02_CH,11/10/2017,12:25:49.630,-9.0,-0.8503418,1.1733398
11_10_02_CH,11/10/2017,12:26:01.969,2.540039,-2.0895996,5.675537
11_10_02_CH,11/10/2017,12:26:02.117,2.4631348,1.1074219,8.674805
11_10_02_CH,11/10/2017,12:26:02.218,1.5249023,3.6518555,8.993408
11_10_02_CH,11/10/2017,12:26:02.330,1.579834,-2.2785645,10.039307
11_10_02_CH,11/10/2017,12:26:02.480,0.11425781,-1.6523438,8.826416
11_10_02_CH,11/10/2017,12:26:02.606,0.34057617,-4.6450195,10.951172
11_10_02_CH,11/10/2017,12:26:02.752,-0.4855957,-1.9379883,6.7038574
11_10_02_CH,11/10/2017,12:26:02.902,1.5930176,-1.6962891,6.376465
11_10_02_CH,11/10/2017,12:26:02.994,-2.2609863,0.12524414,9.327393
11_10_02_CH,11/10/2017,12:26:03.136,-1.8676758,-0.47680664,9.692139
11_10_02_CH,11/10/2017,12:26:03.245,-1.4655762,-1.3117676,8.514404
11_10_02_CH,11/10/2017,12:26:03.359,-0.030761719,-6.462158,5.616211
11_10_02_CH,11/10/2017,12:26:03.498,0.16918945,-8.206787,3.2629395
11_10_02_CH,11/10/2017,12:26:03.623,0.015380859,-9.030762,2.729004
11_10_02_CH,11/10/2017,12:26:03.754,0.98217773,-7.0664063,3.6408691
11_10_02_CH,11/10/2017,12:26:03.918,-0.45922852,-7.824463,3.8913574
11_10_02_CH,11/10/2017,12:26:04.006,-0.77124023,-6.848877,3.7375488
