Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_CH_OFF,11/10/2017,14:19:17.573,-6.3720703,-1.0217285,6.1325684
11_10_03_CH_OFF,11/10/2017,14:19:17.606,-6.385254,-1.0480957,6.097412
11_10_03_CH_OFF,11/10/2017,14:19:17.771,-6.4226074,-1.0415039,6.055664
11_10_03_CH_OFF,11/10/2017,14:19:17.859,-6.411621,-1.0700684,6.073242
11_10_03_CH_OFF,11/10/2017,14:19:17.996,-6.402832,-1.1074219,6.0578613
11_10_03_CH_OFF,11/10/2017,14:19:18.157,-6.376465,-1.1162109,6.0490723
11_10_03_CH_OFF,11/10/2017,14:19:18.261,-6.411621,-1.1315918,6.0754395
11_10_03_CH_OFF,11/10/2017,14:19:18.397,-6.4248047,-1.1118164,6.0600586
11_10_03_CH_OFF,11/10/2017,14:19:18.511,-6.4248047,-1.1337891,6.1237793
11_10_03_CH_OFF,11/10/2017,14:19:18.641,-6.4643555,-1.0634766,6.0754395
11_10_03_CH_OFF,11/10/2017,14:19:18.761,-6.486328,-1.0942383,6.0117188
11_10_03_CH_OFF,11/10/2017,14:19:18.931,-6.378662,-1.1843262,6.0842285
11_10_03_CH_OFF,11/10/2017,14:19:19.034,-6.387451,-1.1425781,6.1083984
11_10_03_CH_OFF,11/10/2017,14:19:19.179,-6.3632813,-1.1535645,6.1018066
11_10_03_CH_OFF,11/10/2017,14:19:19.286,-6.343506,-1.1623535,6.104004
11_10_03_CH_OFF,11/10/2017,14:19:19.421,-6.334717,-1.1931152,6.1325684
11_10_03_CH_OFF,11/10/2017,14:19:19.532,-6.3325195,-1.3293457,6.1853027
11_10_03_CH_OFF,11/10/2017,14:19:19.666,-6.2006836,-1.3029785,6.23584
11_10_03_CH_OFF,11/10/2017,14:19:19.793,-6.2072754,-1.2744141,6.244629
11_10_03_CH_OFF,11/10/2017,14:19:19.947,-6.1589355,-1.3007813,6.3083496
11_10_03_CH_OFF,11/10/2017,14:19:20.062,-6.1171875,-1.2502441,6.319336
11_10_03_CH_OFF,11/10/2017,14:19:20.203,-6.11499,-1.2897949,6.334717
11_10_03_CH_OFF,11/10/2017,14:19:20.312,-6.0117188,-1.1953125,6.39624
11_10_03_CH_OFF,11/10/2017,14:19:20.447,-6.0490723,-1.1030273,6.4643555
11_10_03_CH_OFF,11/10/2017,14:19:20.558,-6.0820313,-0.9250488,6.39624
11_10_03_CH_OFF,11/10/2017,14:19:20.696,-6.13916,-0.9338379,6.3808594
11_10_03_CH_OFF,11/10/2017,14:19:20.823,-6.2006836,-0.93603516,6.319336
11_10_03_CH_OFF,11/10/2017,14:19:20.969,-6.255615,-0.90527344,6.2929688
11_10_03_CH_OFF,11/10/2017,14:19:21.073,-6.246826,-0.8305664,6.2666016
11_10_03_CH_OFF,11/10/2017,14:19:21.225,-6.3391113,-0.7976074,6.1875
11_10_03_CH_OFF,11/10/2017,14:19:21.338,-6.345703,-0.77783203,6.1984863
11_10_03_CH_OFF,11/10/2017,14:19:21.471,-6.3830566,-0.6965332,6.1347656
11_10_03_CH_OFF,11/10/2017,14:19:21.602,-6.4335938,-0.7272949,6.1765137
11_10_03_CH_OFF,11/10/2017,14:19:21.734,-6.3742676,-0.8547363,6.1589355
11_10_03_CH_OFF,11/10/2017,14:19:21.853,-6.3918457,-0.8261719,6.1435547
11_10_03_CH_OFF,11/10/2017,14:19:21.989,-6.4226074,-0.75146484,6.136963
11_10_03_CH_OFF,11/10/2017,14:19:22.101,-6.475342,-0.84594727,6.136963
11_10_03_CH_OFF,11/10/2017,14:19:22.246,-6.435791,-0.8371582,6.038086
11_10_03_CH_OFF,11/10/2017,14:19:22.365,-6.44458,-0.8833008,6.071045
11_10_03_CH_OFF,11/10/2017,14:19:22.500,-6.477539,-0.8964844,6.0490723
11_10_03_CH_OFF,11/10/2017,14:19:22.643,-6.49292,-0.88549805,6.0029297
11_10_03_CH_OFF,11/10/2017,14:19:22.749,-6.5302734,-0.9602051,5.963379
11_10_03_CH_OFF,11/10/2017,14:19:22.883,-6.585205,-0.9909668,5.95459
11_10_03_CH_OFF,11/10/2017,14:19:23.005,-6.5324707,-1.0217285,6.0029297
11_10_03_CH_OFF,11/10/2017,14:19:23.174,-6.508301,-1.0678711,5.980957
11_10_03_CH_OFF,11/10/2017,14:19:23.306,-6.5061035,-1.0766602,5.9853516
11_10_03_CH_OFF,11/10/2017,14:19:23.418,-6.5148926,-1.1623535,5.965576
11_10_03_CH_OFF,11/10/2017,14:19:23.527,-6.4643555,-1.1315918,6.0095215
11_10_03_CH_OFF,11/10/2017,14:19:23.664,-6.4160156,-1.0964355,6.0666504
11_10_03_CH_OFF,11/10/2017,14:19:23.780,-6.442383,-1.1228027,6.055664
11_10_03_CH_OFF,11/10/2017,14:19:23.909,-6.3654785,-1.2546387,6.0512695
11_10_03_CH_OFF,11/10/2017,14:19:24.047,-6.394043,-1.2700195,6.0490723
11_10_03_CH_OFF,11/10/2017,14:19:24.160,-6.369873,-1.2634277,6.1018066
11_10_03_CH_OFF,11/10/2017,14:19:24.299,-6.427002,-1.223877,6.031494
11_10_03_CH_OFF,11/10/2017,14:19:24.445,-6.3808594,-1.2480469,6.0666504
11_10_03_CH_OFF,11/10/2017,14:19:24.543,-6.2995605,-1.3425293,6.121582
11_10_03_CH_OFF,11/10/2017,14:19:24.688,-6.2819824,-1.3513184,6.1259766
11_10_03_CH_OFF,11/10/2017,14:19:24.808,-6.2182617,-1.4282227,6.178711
11_10_03_CH_OFF,11/10/2017,14:19:24.974,-6.2995605,-1.3886719,6.1171875
11_10_03_CH_OFF,11/10/2017,14:19:25.073,-6.3391113,-1.3117676,6.0754395
11_10_03_CH_OFF,11/10/2017,14:19:25.212,-6.288574,-1.2480469,6.161133
11_10_03_CH_OFF,11/10/2017,14:19:25.323,-6.328125,-1.2941895,6.112793
11_10_03_CH_OFF,11/10/2017,14:19:25.480,-6.3083496,-1.2436523,6.1435547
