Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_CH_ON,11/10/2017,12:31:00.022,-1.7314453,7.303711,4.9240723
11_10_02_CH_ON,11/10/2017,12:31:00.169,-2.663086,7.602539,6.2336426
11_10_02_CH_ON,11/10/2017,12:31:00.287,-2.663086,6.1875,5.3239746
11_10_02_CH_ON,11/10/2017,12:31:00.439,-3.1728516,5.664551,6.0007324
11_10_02_CH_ON,11/10/2017,12:31:00.537,-4.98999,4.787842,6.367676
11_10_02_CH_ON,11/10/2017,12:31:00.692,-3.4277344,5.3898926,6.180908
11_10_02_CH_ON,11/10/2017,12:31:00.803,-4.913086,7.9035645,7.0268555
11_10_02_CH_ON,11/10/2017,12:31:00.949,-3.1728516,8.720947,5.29541
11_10_02_CH_ON,11/10/2017,12:31:01.048,2.4719238,6.1237793,2.6279297
11_10_02_CH_ON,11/10/2017,12:31:01.210,2.9047852,5.11084,5.55249
11_10_02_CH_ON,11/10/2017,12:31:01.316,2.9926758,5.899658,6.0424805
11_10_02_CH_ON,11/10/2017,12:31:01.438,3.5925293,4.820801,6.4226074
11_10_02_CH_ON,11/10/2017,12:31:01.565,3.854004,4.656006,5.3964844
11_10_02_CH_ON,11/10/2017,12:31:01.714,3.2893066,5.477783,5.97876
11_10_02_CH_ON,11/10/2017,12:31:01.814,1.1381836,6.1259766,6.70166
11_10_02_CH_ON,11/10/2017,12:31:01.970,2.067627,5.2009277,7.740967
11_10_02_CH_ON,11/10/2017,12:31:02.078,3.647461,7.3125,8.272705
11_10_02_CH_ON,11/10/2017,12:31:02.219,5.433838,5.8842773,3.7507324
11_10_02_CH_ON,11/10/2017,12:31:02.364,5.6689453,-0.8833008,2.2280273
11_10_02_CH_ON,11/10/2017,12:31:02.464,6.833496,-1.7248535,3.665039
11_10_02_CH_ON,11/10/2017,12:31:02.592,6.809326,0.16918945,3.8737793
11_10_02_CH_ON,11/10/2017,12:31:02.740,5.9765625,-2.6433105,3.572754
11_10_02_CH_ON,11/10/2017,12:31:02.844,5.9348145,0.6789551,3.036621
11_10_02_CH_ON,11/10/2017,12:31:02.984,4.550537,7.9606934,5.460205
11_10_02_CH_ON,11/10/2017,12:31:03.144,2.480713,9.125244,5.5041504
11_10_02_CH_ON,11/10/2017,12:31:03.244,0.3647461,8.2771,3.4760742
11_10_02_CH_ON,11/10/2017,12:31:03.361,-0.5888672,7.61792,2.9597168
11_10_02_CH_ON,11/10/2017,12:31:03.496,-2.1730957,9.450439,-0.16918945
11_10_02_CH_ON,11/10/2017,12:31:03.630,-2.0412598,9.358154,-4.54834
11_10_02_CH_ON,11/10/2017,12:31:03.748,-1.6237793,8.182617,-6.0424805
11_10_02_CH_ON,11/10/2017,12:31:03.874,-1.0151367,6.6533203,-5.284424
11_10_02_CH_ON,11/10/2017,12:31:04.011,-0.86572266,7.2905273,-5.484375
11_10_02_CH_ON,11/10/2017,12:31:04.168,-0.3010254,7.4553223,-5.293213
11_10_02_CH_ON,11/10/2017,12:31:04.269,0.39990234,6.1677246,-5.218506
11_10_02_CH_ON,11/10/2017,12:31:04.412,-1.125,7.7387695,-4.1813965
11_10_02_CH_ON,11/10/2017,12:31:04.518,-0.77124023,8.4375,-4.8449707
11_10_02_CH_ON,11/10/2017,12:31:04.656,-1.1711426,8.338623,-3.838623
11_10_02_CH_ON,11/10/2017,12:31:04.772,-0.9074707,8.378174,-3.440918
11_10_02_CH_ON,11/10/2017,12:31:04.900,-1.1711426,8.606689,-3.3068848
11_10_02_CH_ON,11/10/2017,12:31:05.036,-1.0041504,8.657227,-2.357666
11_10_02_CH_ON,11/10/2017,12:31:05.191,-0.96899414,8.890137,-1.9555664
11_10_02_CH_ON,11/10/2017,12:31:05.290,-1.5820313,9.02417,-1.4941406
11_10_02_CH_ON,11/10/2017,12:31:05.435,-1.8852539,8.936279,-1.1118164
11_10_02_CH_ON,11/10/2017,12:31:05.550,-1.4875488,8.705566,-0.91845703
11_10_02_CH_ON,11/10/2017,12:31:05.682,-1.6721191,8.753906,-1.1931152
11_10_02_CH_ON,11/10/2017,12:31:05.822,-1.7050781,9.327393,-1.1777344
11_10_02_CH_ON,11/10/2017,12:31:05.956,-1.8522949,9.547119,1.2128906
11_10_02_CH_ON,11/10/2017,12:31:06.066,-2.4257813,6.376465,5.1679688
11_10_02_CH_ON,11/10/2017,12:31:06.214,-3.581543,6.484131,5.3898926
11_10_02_CH_ON,11/10/2017,12:31:06.313,-2.7641602,5.6140137,5.6359863
11_10_02_CH_ON,11/10/2017,12:31:06.470,-3.3024902,5.3789063,6.0908203
11_10_02_CH_ON,11/10/2017,12:31:06.579,-3.506836,5.1503906,6.710449
11_10_02_CH_ON,11/10/2017,12:31:06.702,-2.878418,9.58667,3.9814453
11_10_02_CH_ON,11/10/2017,12:31:06.831,0.118652344,8.758301,-4.855957
11_10_02_CH_ON,11/10/2017,12:31:06.978,1.2062988,4.970215,-9.487793
11_10_02_CH_ON,11/10/2017,12:31:07.090,0.80200195,5.8095703,-0.63061523
11_10_02_CH_ON,11/10/2017,12:31:07.234,2.6125488,8.920898,-4.027588
11_10_02_CH_ON,11/10/2017,12:31:07.344,1.5952148,4.234131,-8.006836
11_10_02_CH_ON,11/10/2017,12:31:07.487,1.5292969,4.29126,-8.46167
11_10_02_CH_ON,11/10/2017,12:31:07.588,2.5927734,3.7507324,-7.9694824
11_10_02_CH_ON,11/10/2017,12:31:07.739,2.0544434,2.8981934,-8.18042
11_10_02_CH_ON,11/10/2017,12:31:07.856,2.5334473,3.7836914,-7.824463
11_10_02_CH_ON,11/10/2017,12:31:07.994,2.3049316,3.9067383,-7.404785
11_10_02_CH_ON,11/10/2017,12:31:08.170,3.0563965,4.7592773,-7.05542
11_10_02_CH_ON,11/10/2017,12:31:08.252,2.7751465,5.3217773,-6.321533
11_10_02_CH_ON,11/10/2017,12:31:08.374,3.1992188,6.3413086,-6.055664
11_10_02_CH_ON,11/10/2017,12:31:08.518,3.7814941,5.64917,-5.102051
11_10_02_CH_ON,11/10/2017,12:31:08.621,4.4230957,6.932373,-6.394043
11_10_02_CH_ON,11/10/2017,12:31:08.754,3.9331055,8.734131,-1.9797363
11_10_02_CH_ON,11/10/2017,12:31:08.899,2.8059082,7.85083,2.4916992
11_10_02_CH_ON,11/10/2017,12:31:09.020,3.5310059,6.3918457,6.8269043
11_10_02_CH_ON,11/10/2017,12:31:09.135,4.374756,6.005127,5.5129395
11_10_02_CH_ON,11/10/2017,12:31:09.270,6.0117188,5.2734375,5.5612793
11_10_02_CH_ON,11/10/2017,12:31:09.436,4.407715,5.664551,5.3569336
11_10_02_CH_ON,11/10/2017,12:31:09.530,3.1728516,5.822754,5.723877
11_10_02_CH_ON,11/10/2017,12:31:09.675,5.400879,6.238037,6.3500977
11_10_02_CH_ON,11/10/2017,12:31:09.784,3.7858887,5.427246,5.310791
11_10_02_CH_ON,11/10/2017,12:31:09.921,2.5444336,4.9350586,6.0842285
11_10_02_CH_ON,11/10/2017,12:31:10.067,2.3554688,5.741455,6.427002
11_10_02_CH_ON,11/10/2017,12:31:10.166,-0.36914063,5.39209,6.558838
11_10_02_CH_ON,11/10/2017,12:31:10.297,0.048339844,5.0273438,5.5393066
11_10_02_CH_ON,11/10/2017,12:31:10.441,-0.5822754,8.780273,3.192627
11_10_02_CH_ON,11/10/2017,12:31:10.547,-0.7426758,9.927246,4.1638184
11_10_02_CH_ON,11/10/2017,12:31:10.699,-1.588623,7.784912,5.7128906
11_10_02_CH_ON,11/10/2017,12:31:10.811,-5.3745117,6.2182617,7.1696777
11_10_02_CH_ON,11/10/2017,12:31:10.945,-4.972412,5.6887207,5.0075684
11_10_02_CH_ON,11/10/2017,12:31:11.061,-3.739746,6.3632813,5.1987305
11_10_02_CH_ON,11/10/2017,12:31:11.209,-4.150635,6.6225586,5.4228516
11_10_02_CH_ON,11/10/2017,12:31:11.332,-4.434082,5.97876,4.4055176
11_10_02_CH_ON,11/10/2017,12:31:11.464,-4.98999,6.9609375,4.062744
11_10_02_CH_ON,11/10/2017,12:31:11.577,-3.1376953,7.806885,4.3879395
11_10_02_CH_ON,11/10/2017,12:31:11.724,-3.4189453,8.268311,5.939209
11_10_02_CH_ON,11/10/2017,12:31:11.823,-1.373291,7.2092285,5.651367
11_10_02_CH_ON,11/10/2017,12:31:11.974,-3.6254883,6.394043,4.385742
11_10_02_CH_ON,11/10/2017,12:31:12.097,-5.5700684,5.559082,7.4091797
11_10_02_CH_ON,11/10/2017,12:31:12.229,-1.439209,6.220459,6.169922
11_10_02_CH_ON,11/10/2017,12:31:12.358,-3.805664,6.508301,4.093506
11_10_02_CH_ON,11/10/2017,12:31:12.479,-4.4714355,7.743164,1.9731445
11_10_02_CH_ON,11/10/2017,12:31:12.653,-2.5114746,8.514404,-1.0458984
11_10_02_CH_ON,11/10/2017,12:31:12.739,-4.2648926,8.6154785,-0.9667969
11_10_02_CH_ON,11/10/2017,12:31:12.897,-4.119873,8.211182,1.1447754
11_10_02_CH_ON,11/10/2017,12:31:13.001,-3.5749512,7.9365234,1.1821289
11_10_02_CH_ON,11/10/2017,12:31:13.138,-4.4692383,9.859131,0.35375977
11_10_02_CH_ON,11/10/2017,12:31:13.252,-2.1621094,6.23584,3.8276367
11_10_02_CH_ON,11/10/2017,12:31:13.369,-4.473633,5.7458496,6.385254
11_10_02_CH_ON,11/10/2017,12:31:13.500,-4.4890137,5.242676,6.121582
11_10_02_CH_ON,11/10/2017,12:31:13.674,-3.2475586,4.7438965,6.842285
11_10_02_CH_ON,11/10/2017,12:31:13.757,-3.7177734,4.838379,6.402832
11_10_02_CH_ON,11/10/2017,12:31:13.919,-2.6740723,7.2092285,4.47583
11_10_02_CH_ON,11/10/2017,12:31:14.017,-3.5617676,9.046143,2.9465332
11_10_02_CH_ON,11/10/2017,12:31:14.160,-4.392334,6.0842285,5.822754
11_10_02_CH_ON,11/10/2017,12:31:14.282,-6.519287,6.3479004,4.9240723
11_10_02_CH_ON,11/10/2017,12:31:14.405,-3.6386719,7.0620117,1.4172363
11_10_02_CH_ON,11/10/2017,12:31:14.533,-0.3317871,7.4970703,1.0458984
11_10_02_CH_ON,11/10/2017,12:31:14.692,-3.0168457,9.828369,3.755127
11_10_02_CH_ON,11/10/2017,12:31:14.795,-3.440918,8.589111,1.9445801
11_10_02_CH_ON,11/10/2017,12:31:14.941,-4.5,8.417725,1.894043
11_10_02_CH_ON,11/10/2017,12:31:15.049,-4.225342,6.9675293,2.4104004
11_10_02_CH_ON,11/10/2017,12:31:15.192,-3.1376953,7.5651855,5.2976074
11_10_02_CH_ON,11/10/2017,12:31:15.296,-0.7866211,8.613281,5.2822266
11_10_02_CH_ON,11/10/2017,12:31:15.429,-0.56469727,9.118652,2.6323242
11_10_02_CH_ON,11/10/2017,12:31:15.561,-7.286133,7.2685547,1.8083496
11_10_02_CH_ON,11/10/2017,12:31:15.679,0.68115234,9.107666,3.2124023
11_10_02_CH_ON,11/10/2017,12:31:15.829,0.043945313,9.435059,1.8413086
11_10_02_CH_ON,11/10/2017,12:31:15.968,-3.4013672,8.692383,0.82177734
11_10_02_CH_ON,11/10/2017,12:31:16.076,-2.2236328,7.3674316,1.546875
11_10_02_CH_ON,11/10/2017,12:31:16.208,-2.8278809,10.601807,0.09448242
11_10_02_CH_ON,11/10/2017,12:31:16.323,-3.1223145,8.343018,-1.2612305
11_10_02_CH_ON,11/10/2017,12:31:16.457,-3.1618652,8.53418,-0.6965332
11_10_02_CH_ON,11/10/2017,12:31:16.596,-2.8652344,9.463623,-0.89868164
11_10_02_CH_ON,11/10/2017,12:31:16.728,-2.4455566,8.6154785,-0.6218262
11_10_02_CH_ON,11/10/2017,12:31:16.841,-2.605957,8.894531,-0.3010254
11_10_02_CH_ON,11/10/2017,12:31:16.988,-2.3049316,8.947266,0.27685547
11_10_02_CH_ON,11/10/2017,12:31:17.102,-2.3774414,9.797607,0.5251465
11_10_02_CH_ON,11/10/2017,12:31:17.241,0.6855469,9.316406,6.6467285
11_10_02_CH_ON,11/10/2017,12:31:17.358,-0.028564453,4.82959,4.5856934
11_10_02_CH_ON,11/10/2017,12:31:17.492,-4.3154297,4.467041,5.036133
11_10_02_CH_ON,11/10/2017,12:31:17.601,-5.706299,4.071533,5.805176
11_10_02_CH_ON,11/10/2017,12:31:17.751,-5.708496,2.8981934,7.123535
11_10_02_CH_ON,11/10/2017,12:31:17.917,-4.798828,2.9729004,6.708252
11_10_02_CH_ON,11/10/2017,12:31:18.000,-4.0012207,2.8300781,8.140869
11_10_02_CH_ON,11/10/2017,12:31:18.160,-5.1481934,2.0654297,7.279541
11_10_02_CH_ON,11/10/2017,12:31:18.257,-5.069092,1.5820313,6.866455
11_10_02_CH_ON,11/10/2017,12:31:18.406,-4.6845703,0.43066406,7.9211426
11_10_02_CH_ON,11/10/2017,12:31:18.513,-4.5307617,0.18017578,7.543213
11_10_02_CH_ON,11/10/2017,12:31:18.683,-4.7197266,2.324707,7.4487305
11_10_02_CH_ON,11/10/2017,12:31:18.765,-5.4404297,2.2390137,7.883789
