Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_ET_OFF,11/10/2017,13:42:19.398,-2.1225586,-6.5039063,5.242676
11_10_03_ET_OFF,11/10/2017,13:42:19.508,-2.100586,-6.5566406,5.161377
11_10_03_ET_OFF,11/10/2017,13:42:19.648,-2.1049805,-6.543457,5.218506
11_10_03_ET_OFF,11/10/2017,13:42:19.758,-2.076416,-6.5236816,5.211914
11_10_03_ET_OFF,11/10/2017,13:42:19.904,-2.1027832,-6.525879,5.194336
11_10_03_ET_OFF,11/10/2017,13:42:20.018,-2.067627,-6.5324707,5.220703
11_10_03_ET_OFF,11/10/2017,13:42:20.161,-2.1401367,-6.5148926,5.1899414
11_10_03_ET_OFF,11/10/2017,13:42:20.277,-2.1225586,-6.5236816,5.2075195
11_10_03_ET_OFF,11/10/2017,13:42:20.416,-2.0983887,-6.54126,5.2250977
11_10_03_ET_OFF,11/10/2017,13:42:20.566,-2.133545,-6.525879,5.196533
11_10_03_ET_OFF,11/10/2017,13:42:20.663,-2.1291504,-6.4885254,5.2338867
11_10_03_ET_OFF,11/10/2017,13:42:20.789,-2.100586,-6.54126,5.2250977
11_10_03_ET_OFF,11/10/2017,13:42:20.927,-2.1291504,-6.5039063,5.2470703
11_10_03_ET_OFF,11/10/2017,13:42:21.046,-2.1467285,-6.5302734,5.176758
11_10_03_ET_OFF,11/10/2017,13:42:21.180,-2.1225586,-6.536865,5.1811523
11_10_03_ET_OFF,11/10/2017,13:42:21.346,-2.118164,-6.528076,5.187744
11_10_03_ET_OFF,11/10/2017,13:42:21.430,-2.1071777,-6.5324707,5.1723633
11_10_03_ET_OFF,11/10/2017,13:42:21.590,-2.1049805,-6.550049,5.2075195
11_10_03_ET_OFF,11/10/2017,13:42:21.690,-2.118164,-6.558838,5.203125
11_10_03_ET_OFF,11/10/2017,13:42:21.833,-2.0895996,-6.591797,5.1745605
11_10_03_ET_OFF,11/10/2017,13:42:21.946,-2.1137695,-6.5236816,5.170166
11_10_03_ET_OFF,11/10/2017,13:42:22.077,-2.0742188,-6.567627,5.170166
11_10_03_ET_OFF,11/10/2017,13:42:22.209,-2.076416,-6.5895996,5.1723633
11_10_03_ET_OFF,11/10/2017,13:42:22.330,-2.0808105,-6.585205,5.1811523
