Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_ET_ON,11/10/2017,11:41:00.141,6.765381,4.0891113,4.117676
11_10_02_ET_ON,11/10/2017,11:41:00.230,6.7478027,4.038574,4.069336
11_10_02_ET_ON,11/10/2017,11:41:00.402,6.8027344,4.045166,4.0407715
11_10_02_ET_ON,11/10/2017,11:41:00.505,6.8708496,4.0473633,4.117676
11_10_02_ET_ON,11/10/2017,11:41:00.611,6.840088,4.1132813,4.0495605
11_10_02_ET_ON,11/10/2017,11:41:00.746,6.79834,4.0649414,4.0495605
11_10_02_ET_ON,11/10/2017,11:41:00.857,6.8027344,4.051758,4.104492
11_10_02_ET_ON,11/10/2017,11:41:01.010,6.7631836,4.102295,4.045166
11_10_02_ET_ON,11/10/2017,11:41:01.127,6.809326,4.1000977,4.069336
11_10_02_ET_ON,11/10/2017,11:41:01.286,6.7631836,4.1066895,4.036377
11_10_02_ET_ON,11/10/2017,11:41:01.391,6.782959,4.126465,4.069336
11_10_02_ET_ON,11/10/2017,11:41:01.531,6.75,4.14624,4.093506
11_10_02_ET_ON,11/10/2017,11:41:01.640,6.7038574,4.1088867,4.135254
11_10_02_ET_ON,11/10/2017,11:41:01.790,6.7368164,4.17041,4.126465
11_10_02_ET_ON,11/10/2017,11:41:01.891,6.7280273,4.144043,4.201172
11_10_02_ET_ON,11/10/2017,11:41:02.062,6.6643066,4.0891113,4.1396484
11_10_02_ET_ON,11/10/2017,11:41:02.158,6.6708984,4.1572266,4.14624
11_10_02_ET_ON,11/10/2017,11:41:02.311,6.7478027,4.1330566,4.1989746
11_10_02_ET_ON,11/10/2017,11:41:02.402,6.7126465,4.117676,4.150635
11_10_02_ET_ON,11/10/2017,11:41:02.571,6.7609863,4.0891113,4.1638184
11_10_02_ET_ON,11/10/2017,11:41:02.675,6.7807617,4.1242676,4.1418457
11_10_02_ET_ON,11/10/2017,11:41:02.834,6.789551,4.027588,4.0891113
11_10_02_ET_ON,11/10/2017,11:41:02.935,6.824707,4.071533,4.117676
11_10_02_ET_ON,11/10/2017,11:41:03.092,6.789551,4.051758,4.126465
11_10_02_ET_ON,11/10/2017,11:41:03.185,6.818115,4.038574,4.1088867
11_10_02_ET_ON,11/10/2017,11:41:03.355,6.8115234,4.0473633,4.19458
11_10_02_ET_ON,11/10/2017,11:41:03.441,6.776367,4.029785,4.119873
11_10_02_ET_ON,11/10/2017,11:41:03.568,6.833496,3.9770508,4.1418457
11_10_02_ET_ON,11/10/2017,11:41:03.700,6.831299,4.0407715,4.051758
