Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_MT_OFF,11/10/2017,13:28:18.752,-3.6826172,-5.1679688,5.9589844
11_10_03_MT_OFF,11/10/2017,13:28:18.852,-3.6914063,-5.1503906,5.965576
11_10_03_MT_OFF,11/10/2017,13:28:18.996,-3.6694336,-5.1745605,5.9523926
11_10_03_MT_OFF,11/10/2017,13:28:19.103,-3.6914063,-5.130615,5.956787
11_10_03_MT_OFF,11/10/2017,13:28:19.241,-3.7353516,-5.176758,5.9831543
11_10_03_MT_OFF,11/10/2017,13:28:19.356,-3.7265625,-5.1328125,5.97876
11_10_03_MT_OFF,11/10/2017,13:28:19.485,-3.7375488,-5.1240234,5.9589844
11_10_03_MT_OFF,11/10/2017,13:28:19.684,-3.706787,-5.170166,5.9436035
11_10_03_MT_OFF,11/10/2017,13:28:19.787,-3.713379,-5.194336,5.9370117
11_10_03_MT_OFF,11/10/2017,13:28:19.863,-3.706787,-5.1394043,5.945801
11_10_03_MT_OFF,11/10/2017,13:28:20.017,-3.665039,-5.2163086,5.9282227
11_10_03_MT_OFF,11/10/2017,13:28:20.112,-3.7199707,-5.2250977,5.9348145
11_10_03_MT_OFF,11/10/2017,13:28:20.262,-3.7001953,-5.1064453,5.9765625
11_10_03_MT_OFF,11/10/2017,13:28:20.392,-3.730957,-5.121826,5.956787
11_10_03_MT_OFF,11/10/2017,13:28:20.506,-3.7089844,-5.121826,5.9589844
11_10_03_MT_OFF,11/10/2017,13:28:20.646,-3.647461,-5.121826,5.996338
11_10_03_MT_OFF,11/10/2017,13:28:20.797,-3.6870117,-5.0998535,6.007324
11_10_03_MT_OFF,11/10/2017,13:28:20.906,-3.6958008,-4.9658203,6.097412
11_10_03_MT_OFF,11/10/2017,13:28:21.040,-3.755127,-4.8691406,6.112793
11_10_03_MT_OFF,11/10/2017,13:28:21.157,-3.7265625,-4.814209,6.2006836
11_10_03_MT_OFF,11/10/2017,13:28:21.286,-3.8583984,-4.7197266,6.26001
11_10_03_MT_OFF,11/10/2017,13:28:21.418,-3.9155273,-4.5307617,6.387451
11_10_03_MT_OFF,11/10/2017,13:28:21.527,-3.871582,-4.398926,6.442383
11_10_03_MT_OFF,11/10/2017,13:28:21.662,-3.96167,-4.311035,6.525879
11_10_03_MT_OFF,11/10/2017,13:28:21.822,-3.9309082,-4.192383,6.5544434
11_10_03_MT_OFF,11/10/2017,13:28:21.928,-3.9990234,-4.095703,6.626953
11_10_03_MT_OFF,11/10/2017,13:28:22.069,-4.1000977,-3.9089355,6.659912
