Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_MT_ON,11/10/2017,13:33:00.023,-4.565918,2.9377441,6.51709
11_10_03_MT_ON,11/10/2017,13:33:00.136,-0.37573242,1.1425781,5.444824
11_10_03_MT_ON,11/10/2017,13:33:00.280,-11.309326,3.11792,4.4384766
11_10_03_MT_ON,11/10/2017,13:33:00.385,-4.3308105,-3.7749023,7.3234863
11_10_03_MT_ON,11/10/2017,13:33:00.526,-3.432129,-1.5073242,8.066162
11_10_03_MT_ON,11/10/2017,13:33:00.650,-1.5402832,-2.8608398,6.833496
11_10_03_MT_ON,11/10/2017,13:33:00.768,-3.7705078,-0.9140625,8.125488
11_10_03_MT_ON,11/10/2017,13:33:00.899,-2.6564941,-2.671875,7.7893066
11_10_03_MT_ON,11/10/2017,13:33:01.037,-4.1132813,-3.6694336,6.345703
11_10_03_MT_ON,11/10/2017,13:33:01.148,-5.631592,-4.915283,3.4431152
11_10_03_MT_ON,11/10/2017,13:33:01.295,-7.0026855,-4.1835938,3.6079102
11_10_03_MT_ON,11/10/2017,13:33:01.410,-6.77417,-3.946289,3.1091309
11_10_03_MT_ON,11/10/2017,13:33:01.550,-6.3413086,-3.9506836,3.0959473
11_10_03_MT_ON,11/10/2017,13:33:01.697,-7.0949707,-4.4208984,3.6496582
11_10_03_MT_ON,11/10/2017,13:33:01.805,-6.8598633,-3.8320313,3.3815918
11_10_03_MT_ON,11/10/2017,13:33:01.938,-6.0270996,-6.734619,0.31860352
11_10_03_MT_ON,11/10/2017,13:33:02.066,-6.0820313,-6.5895996,-0.32299805
11_10_03_MT_ON,11/10/2017,13:33:02.179,-6.5324707,-6.5148926,-0.74487305
11_10_03_MT_ON,11/10/2017,13:33:02.320,-6.5895996,-5.7612305,-1.2260742
11_10_03_MT_ON,11/10/2017,13:33:02.548,-4.807617,-4.790039,-1.2172852
11_10_03_MT_ON,11/10/2017,13:33:02.578,-6.558838,-4.9262695,-1.2875977
11_10_03_MT_ON,11/10/2017,13:33:02.690,-7.4816895,-5.5546875,-2.0874023
11_10_03_MT_ON,11/10/2017,13:33:02.824,-6.9367676,-5.2976074,-2.7443848
11_10_03_MT_ON,11/10/2017,13:33:02.965,-6.95874,-4.0671387,-2.9992676
11_10_03_MT_ON,11/10/2017,13:33:03.082,-6.906006,-4.9174805,-2.9970703
11_10_03_MT_ON,11/10/2017,13:33:03.208,-6.6730957,-5.29541,-2.9992676
11_10_03_MT_ON,11/10/2017,13:33:03.340,-7.1762695,-5.3459473,-2.5422363
11_10_03_MT_ON,11/10/2017,13:33:03.501,-6.4138184,-5.55249,-2.2653809
11_10_03_MT_ON,11/10/2017,13:33:03.606,-6.0842285,-5.284424,-3.3376465
11_10_03_MT_ON,11/10/2017,13:33:03.745,-6.26001,-5.8710938,-3.0805664
11_10_03_MT_ON,11/10/2017,13:33:03.855,-5.7128906,-5.567871,-3.2893066
11_10_03_MT_ON,11/10/2017,13:33:03.990,-5.304199,-6.369873,-4.14624
11_10_03_MT_ON,11/10/2017,13:33:04.102,-4.581299,-6.097412,-4.6054688
