Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_VA_OFF,11/10/2017,11:48:49.775,6.1677246,3.6210938,5.227295
11_10_02_VA_OFF,11/10/2017,11:48:49.959,6.1237793,3.763916,5.2976074
11_10_02_VA_OFF,11/10/2017,11:48:50.031,6.029297,3.7858887,5.269043
11_10_02_VA_OFF,11/10/2017,11:48:50.141,5.989746,3.8737793,5.244873
11_10_02_VA_OFF,11/10/2017,11:48:50.307,5.9523926,3.8320313,5.3393555
11_10_02_VA_OFF,11/10/2017,11:48:50.414,5.97876,3.829834,5.3217773
11_10_02_VA_OFF,11/10/2017,11:48:50.562,6.0183105,3.7529297,5.436035
11_10_02_VA_OFF,11/10/2017,11:48:50.677,6.0095215,3.68042,5.433838
11_10_02_VA_OFF,11/10/2017,11:48:50.906,6.0490723,3.572754,5.444824
11_10_02_VA_OFF,11/10/2017,11:48:50.934,6.0490723,3.4299316,5.5129395
11_10_02_VA_OFF,11/10/2017,11:48:51.082,6.11499,3.333252,5.517334
11_10_02_VA_OFF,11/10/2017,11:48:51.173,6.154541,3.0476074,5.5634766
11_10_02_VA_OFF,11/10/2017,11:48:51.335,6.147949,2.83667,5.6865234
11_10_02_VA_OFF,11/10/2017,11:48:51.441,6.295166,2.6542969,5.6953125
11_10_02_VA_OFF,11/10/2017,11:48:51.598,6.097412,2.3598633,5.945801
11_10_02_VA_OFF,11/10/2017,11:48:51.693,6.246826,1.9006348,5.824951
11_10_02_VA_OFF,11/10/2017,11:48:51.850,6.3720703,1.480957,5.8183594
11_10_02_VA_OFF,11/10/2017,11:48:51.967,6.3325195,1.5183105,6.013916
11_10_02_VA_OFF,11/10/2017,11:48:52.110,6.561035,1.0634766,5.864502
11_10_02_VA_OFF,11/10/2017,11:48:52.212,6.550049,1.166748,5.798584
11_10_02_VA_OFF,11/10/2017,11:48:52.370,6.4731445,1.5600586,5.923828
11_10_02_VA_OFF,11/10/2017,11:48:52.469,6.310547,1.9335938,5.442627
11_10_02_VA_OFF,11/10/2017,11:48:52.633,6.501709,2.50708,5.732666
11_10_02_VA_OFF,11/10/2017,11:48:52.719,6.3391113,3.010254,5.3217773
11_10_02_VA_OFF,11/10/2017,11:48:52.889,6.3325195,3.6430664,5.3745117
11_10_02_VA_OFF,11/10/2017,11:48:52.992,6.569824,3.5529785,4.981201
11_10_02_VA_OFF,11/10/2017,11:48:53.157,6.328125,3.805664,4.9328613
11_10_02_VA_OFF,11/10/2017,11:48:53.237,6.1589355,3.9265137,5.08667
11_10_02_VA_OFF,11/10/2017,11:48:53.414,6.088623,4.0671387,5.005371
11_10_02_VA_OFF,11/10/2017,11:48:53.498,6.119385,3.9111328,5.2009277
11_10_02_VA_OFF,11/10/2017,11:48:53.613,6.1523438,3.8825684,5.08667
11_10_02_VA_OFF,11/10/2017,11:48:53.771,6.145752,3.9177246,5.1569824
11_10_02_VA_OFF,11/10/2017,11:48:53.877,5.824951,3.8759766,5.1833496
11_10_02_VA_OFF,11/10/2017,11:48:54.028,6.334717,3.3046875,5.13501
11_10_02_VA_OFF,11/10/2017,11:48:54.130,6.205078,3.5266113,5.2646484
11_10_02_VA_OFF,11/10/2017,11:48:54.282,6.4160156,3.2365723,5.1921387
11_10_02_VA_OFF,11/10/2017,11:48:54.394,6.270996,3.3815918,5.2316895
11_10_02_VA_OFF,11/10/2017,11:48:54.545,6.343506,3.210205,5.2646484
11_10_02_VA_OFF,11/10/2017,11:48:54.645,6.321533,3.3310547,5.2800293
11_10_02_VA_OFF,11/10/2017,11:48:54.804,6.3588867,3.2607422,5.2998047
11_10_02_VA_OFF,11/10/2017,11:48:54.917,6.369873,3.2145996,5.27124
11_10_02_VA_OFF,11/10/2017,11:48:55.056,6.462158,3.1882324,5.1899414
11_10_02_VA_OFF,11/10/2017,11:48:55.161,6.354492,3.4123535,5.2558594
11_10_02_VA_OFF,11/10/2017,11:48:55.316,6.376465,3.2980957,5.1899414
11_10_02_VA_OFF,11/10/2017,11:48:55.427,6.3566895,3.3266602,5.203125
11_10_02_VA_OFF,11/10/2017,11:48:55.576,6.409424,3.3684082,5.1569824
11_10_02_VA_OFF,11/10/2017,11:48:55.675,6.2929688,3.5024414,5.2404785
11_10_02_VA_OFF,11/10/2017,11:48:55.838,6.303955,3.39917,5.187744
11_10_02_VA_OFF,11/10/2017,11:48:55.922,6.246826,3.730957,5.196533
11_10_02_VA_OFF,11/10/2017,11:48:56.099,6.2248535,3.6386719,5.102051
11_10_02_VA_OFF,11/10/2017,11:48:56.188,6.238037,3.8012695,5.1569824
11_10_02_VA_OFF,11/10/2017,11:48:56.371,6.169922,3.7814941,5.095459
11_10_02_VA_OFF,11/10/2017,11:48:56.453,6.097412,3.8759766,5.1899414
11_10_02_VA_OFF,11/10/2017,11:48:56.570,6.0424805,3.9594727,5.1679688
11_10_02_VA_OFF,11/10/2017,11:48:56.708,6.0161133,4.036377,5.1833496
11_10_02_VA_OFF,11/10/2017,11:48:56.882,6.0249023,3.9506836,5.227295
11_10_02_VA_OFF,11/10/2017,11:48:56.988,6.055664,3.7814941,5.203125
11_10_02_VA_OFF,11/10/2017,11:48:57.085,6.0820313,3.7902832,5.3063965
11_10_02_VA_OFF,11/10/2017,11:48:57.229,6.106201,3.7375488,5.2668457
11_10_02_VA_OFF,11/10/2017,11:48:57.348,6.1105957,3.6672363,5.2734375
11_10_02_VA_OFF,11/10/2017,11:48:57.496,6.073242,3.6254883,5.4382324
11_10_02_VA_OFF,11/10/2017,11:48:57.607,6.005127,3.5595703,5.5063477
11_10_02_VA_OFF,11/10/2017,11:48:57.763,5.996338,3.482666,5.523926
11_10_02_VA_OFF,11/10/2017,11:48:57.853,6.145752,3.3068848,5.4953613
11_10_02_VA_OFF,11/10/2017,11:48:58.013,6.2731934,3.1113281,5.4492188
11_10_02_VA_OFF,11/10/2017,11:48:58.115,6.26001,3.06958,5.4733887
11_10_02_VA_OFF,11/10/2017,11:48:58.274,6.361084,2.9091797,5.403076
11_10_02_VA_OFF,11/10/2017,11:48:58.379,6.484131,2.7509766,5.3129883
11_10_02_VA_OFF,11/10/2017,11:48:58.534,6.508301,2.755371,5.3811035
11_10_02_VA_OFF,11/10/2017,11:48:58.632,6.5390625,2.755371,5.3547363
11_10_02_VA_OFF,11/10/2017,11:48:58.795,6.484131,2.7927246,5.3964844
11_10_02_VA_OFF,11/10/2017,11:48:58.882,6.4797363,2.9047852,5.302002
11_10_02_VA_OFF,11/10/2017,11:48:59.056,6.4248047,2.9685059,5.352539
11_10_02_VA_OFF,11/10/2017,11:48:59.147,6.2929688,3.1003418,5.4228516
