Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_02_VA_ON,11/10/2017,11:53:37.086,-0.5097656,7.338867,5.0097656
11_10_02_VA_ON,11/10/2017,11:53:37.226,-0.44384766,7.2839355,5.1086426
11_10_02_VA_ON,11/10/2017,11:53:37.402,-0.68774414,7.2421875,5.0427246
11_10_02_VA_ON,11/10/2017,11:53:37.486,-0.4987793,7.354248,5.102051
11_10_02_VA_ON,11/10/2017,11:53:37.603,-0.68774414,7.369629,5.0251465
11_10_02_VA_ON,11/10/2017,11:53:37.749,-0.6152344,7.4157715,5.080078
11_10_02_VA_ON,11/10/2017,11:53:37.852,-0.6262207,7.2817383,5.277832
11_10_02_VA_ON,11/10/2017,11:53:38.010,-0.8679199,7.057617,5.1657715
11_10_02_VA_ON,11/10/2017,11:53:38.117,-0.81518555,7.2597656,5.2404785
11_10_02_VA_ON,11/10/2017,11:53:38.269,-0.70532227,7.286133,5.1657715
11_10_02_VA_ON,11/10/2017,11:53:38.370,-0.98657227,7.3015137,5.1591797
11_10_02_VA_ON,11/10/2017,11:53:38.541,-0.75146484,7.187256,5.071289
11_10_02_VA_ON,11/10/2017,11:53:38.630,-1.0480957,7.378418,5.077881
11_10_02_VA_ON,11/10/2017,11:53:38.791,-1.1623535,7.479492,5.0932617
11_10_02_VA_ON,11/10/2017,11:53:38.896,-1.190918,6.938965,5.3811035
11_10_02_VA_ON,11/10/2017,11:53:39.062,-1.2634277,6.7631836,5.1503906
11_10_02_VA_ON,11/10/2017,11:53:39.148,-1.0964355,6.899414,5.196533
11_10_02_VA_ON,11/10/2017,11:53:39.312,-1.3601074,6.989502,4.847168
11_10_02_VA_ON,11/10/2017,11:53:39.397,-0.8195801,7.949707,4.3879395
11_10_02_VA_ON,11/10/2017,11:53:39.572,-0.48120117,7.5893555,4.286865
11_10_02_VA_ON,11/10/2017,11:53:39.665,-0.37573242,8.595703,3.5837402
11_10_02_VA_ON,11/10/2017,11:53:39.835,-0.1977539,9.015381,2.0324707
11_10_02_VA_ON,11/10/2017,11:53:39.919,-0.29223633,9.217529,2.3466797
11_10_02_VA_ON,11/10/2017,11:53:40.042,0.6218262,8.553955,3.5354004
11_10_02_VA_ON,11/10/2017,11:53:40.182,1.0568848,6.8862305,4.7702637
11_10_02_VA_ON,11/10/2017,11:53:40.293,1.0876465,6.6137695,5.113037
11_10_02_VA_ON,11/10/2017,11:53:40.451,0.18896484,4.1154785,6.9279785
11_10_02_VA_ON,11/10/2017,11:53:40.614,-1.0393066,4.4714355,7.7695313
11_10_02_VA_ON,11/10/2017,11:53:40.700,0.5888672,5.376709,6.4995117
11_10_02_VA_ON,11/10/2017,11:53:40.872,0.057128906,5.326172,7.064209
11_10_02_VA_ON,11/10/2017,11:53:40.960,-0.052734375,6.1083984,6.4643555
11_10_02_VA_ON,11/10/2017,11:53:41.070,0.44604492,6.2753906,6.303955
11_10_02_VA_ON,11/10/2017,11:53:41.222,0.38452148,6.2644043,6.462158
11_10_02_VA_ON,11/10/2017,11:53:41.323,0.6591797,6.367676,6.26001
11_10_02_VA_ON,11/10/2017,11:53:41.482,0.47680664,6.4335938,6.147949
11_10_02_VA_ON,11/10/2017,11:53:41.586,0.63500977,6.354492,6.288574
11_10_02_VA_ON,11/10/2017,11:53:41.743,0.4921875,6.328125,6.26001
11_10_02_VA_ON,11/10/2017,11:53:41.845,0.529541,6.394043,6.229248
11_10_02_VA_ON,11/10/2017,11:53:42.004,0.57128906,6.2644043,6.328125
11_10_02_VA_ON,11/10/2017,11:53:42.105,0.4855957,6.3171387,6.2841797
