Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_WD_OFF,11/10/2017,14:07:55.950,-5.3986816,-2.7531738,6.394043
11_10_03_WD_OFF,11/10/2017,14:07:55.960,-5.4865723,-2.6938477,6.387451
11_10_03_WD_OFF,11/10/2017,14:07:56.056,-5.5041504,-2.671875,6.3632813
11_10_03_WD_OFF,11/10/2017,14:07:56.198,-5.477783,-2.7597656,6.3303223
11_10_03_WD_OFF,11/10/2017,14:07:56.295,-5.517334,-2.6894531,6.352295
11_10_03_WD_OFF,11/10/2017,14:07:56.438,-5.550293,-2.729004,6.328125
11_10_03_WD_OFF,11/10/2017,14:07:56.591,-5.55249,-2.6828613,6.310547
11_10_03_WD_OFF,11/10/2017,14:07:56.714,-5.559082,-2.7070313,6.312744
11_10_03_WD_OFF,11/10/2017,14:07:56.810,-5.5371094,-2.7531738,6.286377
11_10_03_WD_OFF,11/10/2017,14:07:56.953,-5.5283203,-2.729004,6.3171387
11_10_03_WD_OFF,11/10/2017,14:07:57.117,-5.4975586,-2.7268066,6.336914
11_10_03_WD_OFF,11/10/2017,14:07:57.215,-5.532715,-2.696045,6.312744
11_10_03_WD_OFF,11/10/2017,14:07:57.360,-5.567871,-2.6894531,6.3237305
11_10_03_WD_OFF,11/10/2017,14:07:57.458,-5.508545,-2.722412,6.3391113
11_10_03_WD_OFF,11/10/2017,14:07:57.605,-5.5041504,-2.746582,6.3500977
11_10_03_WD_OFF,11/10/2017,14:07:57.713,-5.5788574,-2.6608887,6.288574
11_10_03_WD_OFF,11/10/2017,14:07:57.848,-5.5810547,-2.6564941,6.310547
11_10_03_WD_OFF,11/10/2017,14:07:57.975,-5.5876465,-2.6608887,6.310547
11_10_03_WD_OFF,11/10/2017,14:07:58.141,-5.651367,-2.564209,6.2907715
11_10_03_WD_OFF,11/10/2017,14:07:58.234,-5.690918,-2.5839844,6.268799
11_10_03_WD_OFF,11/10/2017,14:07:58.360,-5.7106934,-2.4060059,6.3171387
11_10_03_WD_OFF,11/10/2017,14:07:58.494,-5.831543,-2.2719727,6.26001
11_10_03_WD_OFF,11/10/2017,14:07:58.606,-5.9106445,-2.1643066,6.343506
11_10_03_WD_OFF,11/10/2017,14:07:58.766,-6.2929688,-1.645752,6.1105957
11_10_03_WD_OFF,11/10/2017,14:07:58.873,-6.429199,-1.4458008,6.0161133
11_10_03_WD_OFF,11/10/2017,14:07:59.018,-6.5544434,-1.0063477,5.9414063
11_10_03_WD_OFF,11/10/2017,14:07:59.132,-6.6621094,-1.0151367,5.85791
11_10_03_WD_OFF,11/10/2017,14:07:59.262,-6.965332,-0.7998047,5.83374
11_10_03_WD_OFF,11/10/2017,14:07:59.386,-6.734619,-0.5185547,5.8447266
11_10_03_WD_OFF,11/10/2017,14:07:59.507,-6.831299,-0.0043945313,6.1237793
11_10_03_WD_OFF,11/10/2017,14:07:59.653,-6.9851074,-0.3076172,5.4206543
11_10_03_WD_OFF,11/10/2017,14:07:59.771,-7.037842,-0.13623047,5.310791
11_10_03_WD_OFF,11/10/2017,14:07:59.900,-7.1433105,0.05493164,5.4558105
11_10_03_WD_OFF,11/10/2017,14:08:00.030,-7.1586914,-0.29663086,5.27124
11_10_03_WD_OFF,11/10/2017,14:08:00.187,-7.2246094,-0.052734375,5.0625
11_10_03_WD_OFF,11/10/2017,14:08:00.283,-7.180664,-0.18896484,5.253662
11_10_03_WD_OFF,11/10/2017,14:08:00.437,-7.0598145,-0.48120117,5.556885
11_10_03_WD_OFF,11/10/2017,14:08:00.548,-6.8269043,-0.8129883,5.69751
