Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
11_10_03_WD_ON,11/10/2017,14:13:40.083,4.73291,0.087890625,7.0004883
11_10_03_WD_ON,11/10/2017,14:13:40.219,7.6904297,0.85913086,5.080078
11_10_03_WD_ON,11/10/2017,14:13:40.320,5.651367,1.0129395,10.549072
11_10_03_WD_ON,11/10/2017,14:13:40.451,5.5217285,-2.8520508,6.615967
11_10_03_WD_ON,11/10/2017,14:13:40.582,6.46875,0.006591797,2.605957
11_10_03_WD_ON,11/10/2017,14:13:40.704,6.659912,4.592285,9.51416
11_10_03_WD_ON,11/10/2017,14:13:40.840,4.847168,1.439209,8.386963
11_10_03_WD_ON,11/10/2017,14:13:41.001,8.619873,-2.8916016,4.73291
11_10_03_WD_ON,11/10/2017,14:13:41.104,3.6298828,-5.317383,10.397461
11_10_03_WD_ON,11/10/2017,14:13:41.213,12.104736,-3.3310547,3.2563477
11_10_03_WD_ON,11/10/2017,14:13:41.360,1.9731445,-4.7922363,4.0144043
11_10_03_WD_ON,11/10/2017,14:13:41.488,2.3510742,-7.600342,4.6120605
11_10_03_WD_ON,11/10/2017,14:13:41.605,7.600342,-4.3395996,8.652832
11_10_03_WD_ON,11/10/2017,14:13:41.766,10.001953,-5.5612793,9.621826
11_10_03_WD_ON,11/10/2017,14:13:41.861,1.4611816,-3.043213,8.479248
11_10_03_WD_ON,11/10/2017,14:13:42.023,7.727783,-0.3713379,5.41626
11_10_03_WD_ON,11/10/2017,14:13:42.127,9.703125,0.64160156,9.595459
11_10_03_WD_ON,11/10/2017,14:13:42.268,5.427246,-0.78222656,5.113037
11_10_03_WD_ON,11/10/2017,14:13:42.375,4.078125,-3.4431152,5.8952637
11_10_03_WD_ON,11/10/2017,14:13:42.511,7.5168457,2.052246,5.0976563
11_10_03_WD_ON,11/10/2017,14:13:42.639,10.395264,2.3225098,4.284668
11_10_03_WD_ON,11/10/2017,14:13:42.759,4.3461914,1.1799316,6.528076
11_10_03_WD_ON,11/10/2017,14:13:42.888,4.0407715,2.6037598,7.9365234
11_10_03_WD_ON,11/10/2017,14:13:43.046,7.130127,-2.0895996,8.736328
11_10_03_WD_ON,11/10/2017,14:13:43.257,9.812988,2.4389648,2.151123
11_10_03_WD_ON,11/10/2017,14:13:43.290,4.871338,0.35375977,10.061279
11_10_03_WD_ON,11/10/2017,14:13:43.405,5.0493164,-1.3776855,4.425293
11_10_03_WD_ON,11/10/2017,14:13:43.538,4.0429688,4.302246,5.361328
11_10_03_WD_ON,11/10/2017,14:13:43.670,8.4375,2.208252,2.8981934
11_10_03_WD_ON,11/10/2017,14:13:43.814,8.687988,1.0437012,4.607666
11_10_03_WD_ON,11/10/2017,14:13:43.922,3.2651367,3.3947754,9.900879
11_10_03_WD_ON,11/10/2017,14:13:44.067,5.203125,10.568848,8.197998
11_10_03_WD_ON,11/10/2017,14:13:44.187,9.518555,1.2854004,2.3225098
11_10_03_WD_ON,11/10/2017,14:13:44.316,7.0620117,1.7072754,4.4472656
11_10_03_WD_ON,11/10/2017,14:13:44.433,3.9682617,1.1118164,7.4729004
11_10_03_WD_ON,11/10/2017,14:13:44.571,5.394287,1.1755371,6.666504
11_10_03_WD_ON,11/10/2017,14:13:44.682,6.7060547,0.12084961,5.9260254
11_10_03_WD_ON,11/10/2017,14:13:44.826,2.2236328,-3.3310547,3.1574707
11_10_03_WD_ON,11/10/2017,14:13:44.950,6.633545,-3.8188477,7.965088
11_10_03_WD_ON,11/10/2017,14:13:45.081,7.494873,0.11206055,6.971924
11_10_03_WD_ON,11/10/2017,14:13:45.242,7.5234375,-0.78881836,7.2663574
11_10_03_WD_ON,11/10/2017,14:13:45.336,4.840576,0.7624512,5.633789
11_10_03_WD_ON,11/10/2017,14:13:45.485,1.3666992,-5.2316895,6.053467
11_10_03_WD_ON,11/10/2017,14:13:45.596,10.7907715,-2.2807617,5.9765625
11_10_03_WD_ON,11/10/2017,14:13:45.713,11.355469,3.6870117,9.134033
11_10_03_WD_ON,11/10/2017,14:13:45.849,-0.78222656,-7.4882813,4.4296875
11_10_03_WD_ON,11/10/2017,14:13:45.980,8.18042,-8.263916,4.2561035
11_10_03_WD_ON,11/10/2017,14:13:46.110,10.19751,-4.3945313,6.743408
11_10_03_WD_ON,11/10/2017,14:13:46.225,1.1623535,-5.6535645,2.6520996
11_10_03_WD_ON,11/10/2017,14:13:46.360,4.748291,-2.8520508,4.798828
11_10_03_WD_ON,11/10/2017,14:13:46.510,11.680664,-5.0405273,7.653076
11_10_03_WD_ON,11/10/2017,14:13:46.614,3.2827148,-2.986084,4.7944336
11_10_03_WD_ON,11/10/2017,14:13:46.784,6.618164,-1.8303223,6.5126953
11_10_03_WD_ON,11/10/2017,14:13:46.873,5.6535645,0.87231445,6.031494
11_10_03_WD_ON,11/10/2017,14:13:47.034,6.0029297,-2.1621094,7.1081543
11_10_03_WD_ON,11/10/2017,14:13:47.142,2.1906738,-5.0581055,3.8737793
11_10_03_WD_ON,11/10/2017,14:13:47.288,10.063477,-2.5488281,5.128418
11_10_03_WD_ON,11/10/2017,14:13:47.388,1.2106934,-1.6853027,4.4033203
11_10_03_WD_ON,11/10/2017,14:13:47.532,4.4450684,-1.4348145,5.8513184
11_10_03_WD_ON,11/10/2017,14:13:47.655,11.074219,3.0629883,7.52124
11_10_03_WD_ON,11/10/2017,14:13:47.775,4.078125,-2.3356934,5.7612305
11_10_03_WD_ON,11/10/2017,14:13:47.901,2.9926758,-5.8601074,5.5151367
11_10_03_WD_ON,11/10/2017,14:13:48.054,11.874023,-1.8149414,10.232666
11_10_03_WD_ON,11/10/2017,14:13:48.152,7.4091797,-0.6020508,5.7128906
11_10_03_WD_ON,11/10/2017,14:13:48.311,1.3535156,-5.4074707,5.6293945
11_10_03_WD_ON,11/10/2017,14:13:48.421,7.1850586,-8.165039,5.4140625
11_10_03_WD_ON,11/10/2017,14:13:48.557,11.986084,-8.415527,8.395752
11_10_03_WD_ON,11/10/2017,14:13:48.683,0.35375977,-2.8278809,6.040283
11_10_03_WD_ON,11/10/2017,14:13:48.801,10.0217285,3.1904297,5.607422
11_10_03_WD_ON,11/10/2017,14:13:48.935,8.039795,1.7380371,5.0251465
11_10_03_WD_ON,11/10/2017,14:13:49.076,4.0737305,-1.5930176,6.5720215
11_10_03_WD_ON,11/10/2017,14:13:49.249,3.6210938,1.2392578,6.0490723
11_10_03_WD_ON,11/10/2017,14:13:49.332,7.692627,-0.65478516,3.432129
11_10_03_WD_ON,11/10/2017,14:13:49.451,8.672607,0.9645996,3.0651855
11_10_03_WD_ON,11/10/2017,14:13:49.581,5.3129883,4.8845215,11.511475
11_10_03_WD_ON,11/10/2017,14:13:49.705,4.1484375,0.07910156,8.01123
11_10_03_WD_ON,11/10/2017,14:13:49.843,7.85083,-0.47021484,5.9831543
