date,time,ecg
11/10/2017,12:25:05.038,244
11/10/2017,12:25:05.079,131
11/10/2017,12:25:05.129,197
11/10/2017,12:25:05.180,222
11/10/2017,12:25:05.227,216
11/10/2017,12:25:05.280,222
11/10/2017,12:25:05.328,212
11/10/2017,12:25:05.377,149
11/10/2017,12:25:05.429,125
11/10/2017,12:25:05.520,141
11/10/2017,12:25:05.569,151
11/10/2017,12:25:05.616,178
11/10/2017,12:25:05.669,117
11/10/2017,12:25:05.724,163
11/10/2017,12:25:05.761,254
11/10/2017,12:25:05.811,241
11/10/2017,12:25:05.859,51
11/10/2017,12:25:05.919,45
11/10/2017,12:25:05.961,226
11/10/2017,12:25:06.005,68
11/10/2017,12:25:06.053,250
11/10/2017,12:25:06.106,69
11/10/2017,12:25:06.151,246
11/10/2017,12:25:06.204,6
11/10/2017,12:25:06.252,208
11/10/2017,12:25:06.298,201
11/10/2017,12:25:06.356,196
11/10/2017,12:25:06.452,59
11/10/2017,12:25:06.454,41
11/10/2017,12:25:06.496,174
11/10/2017,12:25:06.545,11
11/10/2017,12:25:06.594,124
11/10/2017,12:25:06.643,241
11/10/2017,12:25:06.691,24
11/10/2017,12:25:06.740,107
11/10/2017,12:25:06.788,97
11/10/2017,12:25:06.838,73
11/10/2017,12:25:06.946,0
11/10/2017,12:25:06.949,118
11/10/2017,12:25:06.979,231
11/10/2017,12:25:07.030,212
11/10/2017,12:25:07.078,236
11/10/2017,12:25:07.131,152
11/10/2017,12:25:07.179,12
11/10/2017,12:25:07.228,232
11/10/2017,12:25:07.276,77
11/10/2017,12:25:07.325,159
11/10/2017,12:25:07.374,62
11/10/2017,12:25:07.472,175
11/10/2017,12:25:07.521,125
11/10/2017,12:25:07.566,2
11/10/2017,12:25:07.618,181
11/10/2017,12:25:07.663,59
11/10/2017,12:25:07.715,152
11/10/2017,12:25:07.764,51
11/10/2017,12:25:07.812,77
11/10/2017,12:25:07.861,4
11/10/2017,12:25:07.911,5
11/10/2017,12:25:07.960,12
11/10/2017,12:25:08.003,28
11/10/2017,12:25:08.056,60
11/10/2017,12:25:08.101,64
11/10/2017,12:25:08.155,54
11/10/2017,12:25:08.203,137
11/10/2017,12:25:08.248,132
11/10/2017,12:25:08.296,108
11/10/2017,12:25:08.347,7
11/10/2017,12:25:08.396,144
11/10/2017,12:25:08.444,180
11/10/2017,12:25:08.494,151
11/10/2017,12:25:08.541,10
11/10/2017,12:25:08.590,88
11/10/2017,12:25:08.638,48
11/10/2017,12:25:08.691,112
11/10/2017,12:25:08.738,15
11/10/2017,12:25:08.784,78
11/10/2017,12:25:08.834,57
11/10/2017,12:25:08.880,68
11/10/2017,12:25:08.931,198
11/10/2017,12:25:08.980,142
11/10/2017,12:25:09.032,1
11/10/2017,12:25:09.079,234
11/10/2017,12:25:09.130,85
11/10/2017,12:25:09.226,88
11/10/2017,12:25:09.227,117
11/10/2017,12:25:09.274,61
11/10/2017,12:25:09.321,16
11/10/2017,12:25:09.421,160
11/10/2017,12:25:09.471,219
11/10/2017,12:25:09.518,218
11/10/2017,12:25:09.569,175
11/10/2017,12:25:09.613,161
11/10/2017,12:25:09.666,246
11/10/2017,12:25:09.711,126
11/10/2017,12:25:09.763,42
11/10/2017,12:25:09.808,118
11/10/2017,12:25:09.859,109
11/10/2017,12:25:09.909,36
11/10/2017,12:25:09.956,30
11/10/2017,12:25:10.002,102
11/10/2017,12:25:10.055,121
11/10/2017,12:25:10.100,44
11/10/2017,12:25:10.150,1
11/10/2017,12:25:10.199,10
11/10/2017,12:25:10.249,91
11/10/2017,12:25:10.294,136
11/10/2017,12:25:10.496,31
11/10/2017,12:25:10.499,188
11/10/2017,12:25:10.502,138
11/10/2017,12:25:10.504,216
11/10/2017,12:25:10.547,154
