Patient ID, Date,Time,X-Acceleration (m/s*s),Y-Acceleration (m/s*s),Z-Acceleration (m/s*s)
7003,08/10/2017,18:50:55.956,-2.3642578,-2.4829102,7.6728516
7003,08/10/2017,18:50:57.259,-1.7797852,-2.3752441,7.2597656
7003,08/10/2017,18:50:57.283,-3.0651855,-3.1003418,6.723633
7003,08/10/2017,18:50:57.286,-3.5969238,-3.6079102,5.6865234
7003,08/10/2017,18:50:57.290,-4.871338,-4.3813477,6.0490723
7003,08/10/2017,18:50:57.303,-6.038086,-4.772461,5.4975586
7003,08/10/2017,18:50:57.307,-6.7939453,-5.1657715,4.460449
7003,08/10/2017,18:50:57.312,-6.7521973,-5.4382324,4.159424
7003,08/10/2017,18:50:57.315,-6.657715,-4.9658203,3.7507324
7003,08/10/2017,18:50:57.320,-5.565674,-5.36792,3.333252
7003,08/10/2017,18:50:57.330,-5.5393066,-5.9282227,3.6298828
7003,08/10/2017,18:50:57.332,-6.561035,-5.458008,3.5112305
7003,08/10/2017,18:50:57.379,-6.21167,-5.145996,3.3046875
7003,08/10/2017,18:50:57.536,-6.42041,-5.3723145,3.366211
7003,08/10/2017,18:50:57.647,-6.4313965,-5.1591797,3.3112793
7003,08/10/2017,18:50:57.749,-6.3171387,-5.0734863,3.3134766
7003,08/10/2017,18:50:57.898,-6.295166,-5.161377,3.3530273
7003,08/10/2017,18:50:58.020,-6.2973633,-5.1416016,3.3881836
7003,08/10/2017,18:50:58.138,-6.328125,-5.0844727,3.2233887
7003,08/10/2017,18:50:58.288,-6.3632813,-5.242676,3.3640137
7003,08/10/2017,18:50:58.403,-6.3654785,-5.1086426,3.309082
7003,08/10/2017,18:50:58.536,-6.4819336,-5.1657715,3.2783203
7003,08/10/2017,18:50:58.655,-6.6533203,-5.2888184,3.4541016
7003,08/10/2017,18:50:58.785,-6.6621094,-5.27124,3.5705566
7003,08/10/2017,18:50:58.925,-6.5214844,-5.3723145,3.8254395
7003,08/10/2017,18:50:59.051,-6.3808594,-5.3151855,4.2143555
7003,08/10/2017,18:50:59.170,-5.4799805,-4.847168,4.286865
7003,08/10/2017,18:50:59.300,-5.178955,-4.697754,4.4956055
7003,08/10/2017,18:50:59.428,-5.385498,-4.691162,5.302002
7003,08/10/2017,18:50:59.565,-5.475586,-4.284668,5.2558594
7003,08/10/2017,18:50:59.681,-5.4887695,-4.2077637,5.3986816
7003,08/10/2017,18:50:59.813,-4.8691406,-4.060547,5.813965
7003,08/10/2017,18:50:59.964,-4.482422,-4.3637695,6.3061523
7003,08/10/2017,18:51:00.061,-4.201172,-4.144043,6.1853027
7003,08/10/2017,18:51:00.189,-3.5332031,-3.8693848,6.3303223
7003,08/10/2017,18:51:00.326,-3.440918,-4.0341797,6.626953
7003,08/10/2017,18:51:00.455,-3.3684082,-3.9484863,6.681885
7003,08/10/2017,18:51:00.574,-3.5595703,-4.251709,6.6313477
7003,08/10/2017,18:51:00.723,-3.6276855,-4.1220703,5.816162
7003,08/10/2017,18:51:00.840,-4.6054688,-4.482422,5.161377
7003,08/10/2017,18:51:00.957,-5.609619,-4.071533,3.7287598
7003,08/10/2017,18:51:01.103,-6.8532715,-4.8867188,3.7705078
7003,08/10/2017,18:51:01.220,-7.8552246,-5.08667,3.458496
7003,08/10/2017,18:51:01.355,-7.716797,-4.921875,2.5158691
7003,08/10/2017,18:51:01.486,-7.8288574,-4.8691406,1.9797363
7003,08/10/2017,18:51:01.604,-7.7717285,-4.508789,1.4370117
7003,08/10/2017,18:51:01.735,-7.6464844,-4.5373535,1.4655762
7003,08/10/2017,18:51:01.869,-7.576172,-4.352783,1.3095703
7003,08/10/2017,18:51:02.000,-7.66626,-4.42749,1.8171387
7003,08/10/2017,18:51:02.118,-7.8398438,-4.763672,2.1445313
7003,08/10/2017,18:51:02.255,-7.5717773,-4.873535,2.5861816
7003,08/10/2017,18:51:02.399,-6.914795,-4.706543,3.2277832
7003,08/10/2017,18:51:02.499,-6.005127,-5.088867,3.2937012
7003,08/10/2017,18:51:02.634,-5.8842773,-5.6799316,3.8825684
7003,08/10/2017,18:51:02.768,-5.699707,-4.855957,3.8671875
7003,08/10/2017,18:51:02.898,-6.2731934,-4.4648438,4.4033203
7003,08/10/2017,18:51:03.032,-5.807373,-4.440674,4.550537
7003,08/10/2017,18:51:03.158,-6.1105957,-4.1967773,4.6625977
7003,08/10/2017,18:51:03.308,-6.1831055,-4.104492,5.0185547
7003,08/10/2017,18:51:03.423,-6.1655273,-3.988037,5.154785
7003,08/10/2017,18:51:03.526,-6.4797363,-3.8144531,5.460205
7003,08/10/2017,18:51:03.669,-5.726074,-3.4057617,5.3217773
7003,08/10/2017,18:51:03.795,-4.9768066,-3.3266602,5.5964355
7003,08/10/2017,18:51:03.927,-4.26709,-3.7353516,6.343506
7003,08/10/2017,18:51:04.069,-4.0825195,-4.2231445,6.77417
7003,08/10/2017,18:51:04.177,-3.7287598,-4.258301,6.7631836
7003,08/10/2017,18:51:04.306,-3.5463867,-4.1396484,6.486328
7003,08/10/2017,18:51:04.425,-3.2058105,-4.416504,6.369873
7003,08/10/2017,18:51:04.575,-3.8122559,-5.152588,6.875244
7003,08/10/2017,18:51:04.693,-4.0891113,-4.7263184,6.3632813
7003,08/10/2017,18:51:04.828,-4.7614746,-4.5043945,5.8623047
7003,08/10/2017,18:51:04.981,-5.196533,-4.341797,5.7612305
7003,08/10/2017,18:51:05.075,-5.1899414,-4.359375,5.7436523
7003,08/10/2017,18:51:05.206,-4.9350586,-4.269287,5.715088
7003,08/10/2017,18:51:05.338,-4.8427734,-4.4560547,5.8447266
7003,08/10/2017,18:51:05.471,-4.939453,-4.4802246,5.8117676
7003,08/10/2017,18:51:05.605,-4.697754,-4.42749,5.690918
7003,08/10/2017,18:51:05.743,-4.666992,-4.568115,6.005127
7003,08/10/2017,18:51:05.854,-4.5769043,-4.623047,5.9941406
7003,08/10/2017,18:51:05.971,-4.4648438,-4.647217,5.939209
7003,08/10/2017,18:51:06.102,-4.152832,-4.592285,5.9611816
7003,08/10/2017,18:51:06.234,-4.0913086,-4.7351074,6.2512207
7003,08/10/2017,18:51:06.365,-3.91333,-4.7263184,6.0358887
7003,08/10/2017,18:51:06.505,-3.7661133,-4.9240723,5.9414063
7003,08/10/2017,18:51:06.617,-3.7814941,-5.130615,6.0776367
7003,08/10/2017,18:51:06.750,-3.9155273,-5.154785,5.9699707
7003,08/10/2017,18:51:06.885,-4.095703,-5.152588,5.88208
7003,08/10/2017,18:51:06.999,-3.7573242,-5.1569824,5.791992
7003,08/10/2017,18:51:07.130,-3.8034668,-5.466797,6.095215
7003,08/10/2017,18:51:07.273,-3.6452637,-5.310791,5.989746
7003,08/10/2017,18:51:07.413,-3.6540527,-5.242676,5.9370117
7003,08/10/2017,18:51:07.513,-3.6101074,-5.194336,5.9436035
